,State,Year,Quater,Transaction_type,Transaction_count,Transaction_amount,code,Latitude,Longitude
191,Andhra Pradesh,2022,3,Merchant payments,291033653,202910820650.0824,AD,15.9240905,80.1863809
192,Andhra Pradesh,2022,3,Recharge & bill payments,52467708,41438764826.20322,AD,15.9240905,80.1863809
193,Andhra Pradesh,2022,3,Financial Services,187190,239347241.54655045,AD,15.9240905,80.1863809
194,Andhra Pradesh,2022,3,Others,362484,323951101.5715289,AD,15.9240905,80.1863809
195,Andhra Pradesh,2022,4,Merchant payments,321632104,211898851397.09848,AD,15.9240905,80.1863809
196,Andhra Pradesh,2022,4,Peer-to-peer payments,315734006,1170249585983.0112,AD,15.9240905,80.1863809
197,Andhra Pradesh,2022,4,Recharge & bill payments,52098850,41986837706.47902,AD,15.9240905,80.1863809
198,Andhra Pradesh,2022,4,Financial Services,206459,250596592.06465048,AD,15.9240905,80.1863809
199,Andhra Pradesh,2022,4,Others,345658,339211363.0027188,AD,15.9240905,80.1863809
200,Arunachal Pradesh,2018,1,Recharge & bill payments,28729,5184132.514934338,AR,28.0937702,94.5921326
201,Arunachal Pradesh,2018,1,Peer-to-peer payments,13320,82889682.72418305,AR,28.0937702,94.5921326
202,Arunachal Pradesh,2018,1,Merchant payments,1042,2420374.1905855755,AR,28.0937702,94.5921326
203,Arunachal Pradesh,2018,1,Financial Services,416,58893.76201533088,AR,28.0937702,94.5921326
204,Arunachal Pradesh,2018,1,Others,1990,1834252.817690888,AR,28.0937702,94.5921326
205,Arunachal Pradesh,2018,2,Recharge & bill payments,50700,10468878.537107185,AR,28.0937702,94.5921326
206,Arunachal Pradesh,2018,2,Peer-to-peer payments,26477,181576281.19464755,AR,28.0937702,94.5921326
207,Arunachal Pradesh,2018,2,Merchant payments,2378,4718953.439561011,AR,28.0937702,94.5921326
208,Arunachal Pradesh,2018,2,Financial Services,559,363761.801595492,AR,28.0937702,94.5921326
209,Arunachal Pradesh,2018,2,Others,2043,1842317.369135248,AR,28.0937702,94.5921326
210,Arunachal Pradesh,2018,3,Recharge & bill payments,74122,15997565.906016495,AR,28.0937702,94.5921326
211,Arunachal Pradesh,2018,3,Peer-to-peer payments,49740,308106303.45342577,AR,28.0937702,94.5921326
212,Arunachal Pradesh,2018,3,Merchant payments,4738,5505694.567913429,AR,28.0937702,94.5921326
213,Arunachal Pradesh,2018,3,Financial Services,507,72133.845254878,AR,28.0937702,94.5921326
214,Arunachal Pradesh,2018,3,Others,2039,2044708.9687807967,AR,28.0937702,94.5921326
215,Arunachal Pradesh,2018,4,Recharge & bill payments,97751,20662691.88231328,AR,28.0937702,94.5921326
216,Arunachal Pradesh,2018,4,Peer-to-peer payments,68169,468831493.2328036,AR,28.0937702,94.5921326
217,Arunachal Pradesh,2018,4,Merchant payments,7726,11998974.1040326,AR,28.0937702,94.5921326
218,Arunachal Pradesh,2018,4,Financial Services,561,100597.90379906222,AR,28.0937702,94.5921326
219,Arunachal Pradesh,2018,4,Others,2222,2446271.9688117937,AR,28.0937702,94.5921326
220,Arunachal Pradesh,2019,1,Recharge & bill payments,121303,26796894.998233315,AR,28.0937702,94.5921326
221,Arunachal Pradesh,2019,1,Peer-to-peer payments,93494,568554821.4456317,AR,28.0937702,94.5921326
222,Arunachal Pradesh,2019,1,Merchant payments,9214,11727218.401334248,AR,28.0937702,94.5921326
223,Arunachal Pradesh,2019,1,Financial Services,256,140622.87093631705,AR,28.0937702,94.5921326
