,State,Year,Quater,District,Transaction_count,Transaction_amount
365,andhra-pradesh,2022,1,522001.0,5691035,15226428277.57111
366,andhra-pradesh,2022,1,515001.0,5585462,11393585212.479506
367,andhra-pradesh,2022,1,530016.0,5554647,9991176892.061852
368,andhra-pradesh,2022,1,516001.0,4513789,11365056779.562836
369,andhra-pradesh,2022,1,520010.0,4492155,9108501441.854176
370,andhra-pradesh,2022,2,524002.0,18822839,40556750377.6809
371,andhra-pradesh,2022,2,530026.0,12256092,29600523030.089485
372,andhra-pradesh,2022,2,517501.0,9320394,17071503296.033054
373,andhra-pradesh,2022,2,517507.0,7667416,14863715364.820652
374,andhra-pradesh,2022,2,520002.0,7584902,19447767871.79056
375,andhra-pradesh,2022,2,530016.0,6470271,11522114399.303429
376,andhra-pradesh,2022,2,515001.0,6291639,12847256630.386038
377,andhra-pradesh,2022,2,522001.0,6073875,16041957319.95133
378,andhra-pradesh,2022,2,520010.0,5301338,10747157085.983915
379,andhra-pradesh,2022,2,516001.0,4927880,12452111307.590088
380,andhra-pradesh,2022,3,530026.0,10427710,24452749355.343765
381,andhra-pradesh,2022,3,517501.0,9028550,16685152652.27945
382,andhra-pradesh,2022,3,517507.0,7638906,14893051968.861427
383,andhra-pradesh,2022,3,524002.0,6897466,17798259711.658493
384,andhra-pradesh,2022,3,522001.0,6608575,14799455202.072798
385,andhra-pradesh,2022,3,520002.0,6370783,17359205738.798397
386,andhra-pradesh,2022,3,530016.0,6352195,11280121649.92772
387,andhra-pradesh,2022,3,515001.0,6120942,12350133591.116642
388,andhra-pradesh,2022,3,520010.0,5372903,10801020194.878736
389,andhra-pradesh,2022,3,516001.0,5350632,13517253500.100548
390,andhra-pradesh,2022,4,530026.0,10249750,23326515677.88234
391,andhra-pradesh,2022,4,517501.0,9601016,17160601029.470804
392,andhra-pradesh,2022,4,517507.0,8255182,15452889827.310287
393,andhra-pradesh,2022,4,530016.0,6770365,11575693176.866528
394,andhra-pradesh,2022,4,515001.0,6566772,12647557281.819908
395,andhra-pradesh,2022,4,522001.0,6419773,13879436431.018642
396,andhra-pradesh,2022,4,520010.0,5887349,11108836639.890686
397,andhra-pradesh,2022,4,518002.0,5810257,12488419884.161983
